TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Bank,Radio,TV,Computer_With_Internet,Computer_Without_Internet,Landline_Only,Mobile_Only,Landline_Mobile,Bicycle,Motorcycle,Car,With_All,With_None
HH4012,27,000,00000,000000,STATE - MAHARASHTRA,Total," 23,830,580 "," 16,414,892 "," 4,639,656 "," 13,525,610 "," 1,379,351 "," 1,794,680 "," 1,495,311 "," 12,799,041 "," 2,164,409 "," 7,264,830 "," 5,941,782 "," 1,407,482 "," 1,726,271 "," 4,520,745 "
HH4012,27,000,00000,000000,STATE - MAHARASHTRA,Rural," 13,016,652 "," 8,193,623 "," 1,581,069 "," 4,934,407 "," 109,548 "," 512,366 "," 682,904 "," 5,860,860 "," 570,484 "," 3,936,885 "," 2,413,299 "," 312,392 "," 174,083 "," 3,873,777 "
HH4012,27,000,00000,000000,STATE - MAHARASHTRA,Urban," 10,813,928 "," 8,221,269 "," 3,058,587 "," 8,591,203 "," 1,269,803 "," 1,282,314 "," 812,407 "," 6,938,181 "," 1,593,925 "," 3,327,945 "," 3,528,483 "," 1,095,090 "," 1,552,188 "," 646,968 "
HH4012,27,000,00000,802794,Greater Mumbai (M Corp.),Urban," 2,665,481 "," 2,305,130 "," 961,460 "," 2,268,853 "," 526,101 "," 331,079 "," 239,977 "," 1,680,240 "," 600,651 "," 289,682 "," 416,771 "," 339,870 "," 422,438 "," 59,659 "
HH4012,27,497,00000,000000,District - Nandurbar,Total," 319,623 "," 107,763 "," 23,172 "," 83,144 "," 2,579 "," 14,468 "," 6,958 "," 85,451 "," 9,349 "," 40,529 "," 39,350 "," 6,135 "," 4,587 "," 175,252 "
HH4012,27,497,00000,000000,District - Nandurbar,Rural," 270,533 "," 80,058 "," 19,479 "," 50,593 "," 1,005 "," 10,659 "," 4,741 "," 56,069 "," 5,542 "," 27,531 "," 22,724 "," 3,459 "," 1,436 "," 166,787 "
HH4012,27,497,00000,000000,District - Nandurbar,Urban," 49,090 "," 27,705 "," 3,693 "," 32,551 "," 1,574 "," 3,809 "," 2,217 "," 29,382 "," 3,807 "," 12,998 "," 16,626 "," 2,676 "," 3,151 "," 8,465 "
HH4012,27,497,03950,000000,Sub-District - Akkalkuwa,Total," 45,360 "," 11,117 "," 3,447 "," 3,943 ", 170 ," 1,891 ", 472 ," 5,625 "," 1,122 "," 2,478 "," 1,776 ", 441 , 128 ," 33,276 "
HH4012,27,497,03950,000000,Sub-District - Akkalkuwa,Rural," 41,213 "," 9,461 "," 3,122 "," 2,358 ", 106 ," 1,667 ", 314 ," 3,844 ", 857 ," 1,930 "," 1,069 ", 293 , 50 ," 31,794 "
HH4012,27,497,03950,000000,Sub-District - Akkalkuwa,Urban," 4,147 "," 1,656 ", 325 ," 1,585 ", 64 , 224 , 158 ," 1,781 ", 265 , 548 , 707 , 148 , 78 ," 1,482 "
