TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Kitchen_Type,Total_Households,Firewood,CropResidue,Cowdung,Coal,Kerosene,LPG,Electricity,Biogas,Other,NoCooking
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Total," 23,830,580 "," 10,142,773 "," 1,082,501 "," 293,219 "," 52,705 "," 1,540,670 "," 10,335,795 "," 13,143 "," 159,887 "," 29,763 "," 180,124 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Cooking inside house:," 21,818,504 "," 8,752,376 "," 855,830 "," 255,992 "," 47,524 "," 1,508,346 "," 10,206,838 "," 11,676 "," 153,735 "," 26,187 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Has Kitchen," 16,504,564 "," 5,582,134 "," 413,609 "," 186,247 "," 34,541 "," 910,832 "," 9,209,701 "," 8,399 "," 140,728 "," 18,373 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Does not have kitchen," 5,313,940 "," 3,170,242 "," 442,221 "," 69,745 "," 12,983 "," 597,514 "," 997,137 "," 3,277 "," 13,007 "," 7,814 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Cooking outside house:," 1,831,952 "," 1,390,397 "," 226,671 "," 37,227 "," 5,181 "," 32,324 "," 128,957 "," 1,467 "," 6,152 "," 3,576 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Has Kitchen," 829,592 "," 637,916 "," 102,855 "," 19,266 "," 2,420 "," 12,092 "," 50,464 ", 604 ," 2,325 "," 1,650 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,Does not have kitchen," 1,002,360 "," 752,481 "," 123,816 "," 17,961 "," 2,761 "," 20,232 "," 78,493 ", 863 ," 3,827 "," 1,926 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Total,No Cooking," 180,124 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 180,124 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Total," 13,016,652 "," 8,973,762 "," 1,003,765 "," 262,860 "," 16,119 "," 215,421 "," 2,326,765 "," 8,558 "," 136,215 "," 15,274 "," 57,913 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Cooking inside house:," 11,281,713 "," 7,678,570 "," 783,393 "," 227,945 "," 12,391 "," 202,455 "," 2,226,954 "," 7,195 "," 130,414 "," 12,396 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Has Kitchen," 7,709,918 "," 4,903,018 "," 367,881 "," 166,191 "," 8,598 "," 143,422 "," 1,987,601 "," 4,806 "," 120,100 "," 8,301 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Does not have kitchen," 3,571,795 "," 2,775,552 "," 415,512 "," 61,754 "," 3,793 "," 59,033 "," 239,353 "," 2,389 "," 10,314 "," 4,095 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Cooking outside house:," 1,677,026 "," 1,295,192 "," 220,372 "," 34,915 "," 3,728 "," 12,966 "," 99,811 "," 1,363 "," 5,801 "," 2,878 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Has Kitchen," 759,100 "," 595,806 "," 99,763 "," 17,955 "," 1,848 "," 4,634 "," 35,110 ", 540 ," 2,086 "," 1,358 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,Does not have kitchen," 917,926 "," 699,386 "," 120,609 "," 16,960 "," 1,880 "," 8,332 "," 64,701 ", 823 ," 3,715 "," 1,520 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Rural,No Cooking," 57,913 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 57,913 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Total," 10,813,928 "," 1,169,011 "," 78,736 "," 30,359 "," 36,586 "," 1,325,249 "," 8,009,030 "," 4,585 "," 23,672 "," 14,489 "," 122,211 "
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Cooking inside house:," 10,536,791 "," 1,073,806 "," 72,437 "," 28,047 "," 35,133 "," 1,305,891 "," 7,979,884 "," 4,481 "," 23,321 "," 13,791 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Has Kitchen," 8,794,646 "," 679,116 "," 45,728 "," 20,056 "," 25,943 "," 767,410 "," 7,222,100 "," 3,593 "," 20,628 "," 10,072 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Does not have kitchen," 1,742,145 "," 394,690 "," 26,709 "," 7,991 "," 9,190 "," 538,481 "," 757,784 ", 888 ," 2,693 "," 3,719 ", -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Cooking outside house:," 154,926 "," 95,205 "," 6,299 "," 2,312 "," 1,453 "," 19,358 "," 29,146 ", 104 , 351 , 698 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Has Kitchen," 70,492 "," 42,110 "," 3,092 "," 1,311 ", 572 ," 7,458 "," 15,354 ", 64 , 239 , 292 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,Does not have kitchen," 84,434 "," 53,095 "," 3,207 "," 1,001 ", 881 ," 11,900 "," 13,792 ", 40 , 112 , 406 , -   
HH3410,27,000,00000,000000,STATE - MAHARASHTRA,Urban,No Cooking," 122,211 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 122,211 "
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Total," 2,665,481 "," 54,944 "," 9,957 "," 3,053 "," 1,488 "," 468,748 "," 2,081,829 "," 1,063 "," 7,657 "," 4,806 "," 31,936 "
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Cooking inside house:," 2,620,247 "," 53,720 "," 9,506 "," 2,928 "," 1,417 "," 463,049 "," 2,076,287 "," 1,058 "," 7,588 "," 4,694 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Has Kitchen," 2,094,845 "," 45,016 "," 7,218 "," 1,919 ", 967 ," 262,038 "," 1,766,628 ", 923 ," 6,535 "," 3,601 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Does not have kitchen," 525,402 "," 8,704 "," 2,288 "," 1,009 ", 450 ," 201,011 "," 309,659 ", 135 ," 1,053 "," 1,093 ", -   
HH3410,27,000,00000,802794,Greater Mumbai (M Corp.),Urban,Cooking outside house:," 13,298 "," 1,224 ", 451 , 125 , 71 ," 5,699 "," 5,542 ", 5 , 69 , 112 , -   
