TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Toilet_Inside,Toilet_Inside_Flush_Sewer,Toilet_Inside_Flush_Septic,Toilet_Inside_Flush_Other,Toilet_Inside_Pit_Ventilated,Toilet_Inside_Pit_Open,Toilet_Inside_Open_Drain,Toilet_Inside_Manual,Toilet_Inside_Pig,Toilet_Outside,Toilet_Public,Toilet_None
HH2808,27,000,00000,000000,STATE - MAHARASHTRA,Total," 23,830,580 "," 12,653,950 "," 4,375,612 "," 5,590,244 "," 389,057 "," 1,977,733 "," 111,922 "," 154,331 "," 9,622 "," 45,429 "," 11,176,630 "," 3,082,317 "," 8,094,313 "
HH2808,27,000,00000,000000,STATE - MAHARASHTRA,Rural," 13,016,652 "," 4,946,854 "," 290,804 "," 2,493,671 "," 294,807 "," 1,741,883 "," 87,995 "," 20,875 "," 4,291 "," 12,528 "," 8,069,798 "," 807,153 "," 7,262,645 "
HH2808,27,000,00000,000000,STATE - MAHARASHTRA,Urban," 10,813,928 "," 7,707,096 "," 4,084,808 "," 3,096,573 "," 94,250 "," 235,850 "," 23,927 "," 133,456 "," 5,331 "," 32,901 "," 3,106,832 "," 2,275,164 "," 831,668 "
HH2808,27,000,00000,802794,Greater Mumbai (M Corp.),Urban," 2,665,481 "," 1,535,831 "," 1,228,458 "," 202,659 "," 25,712 "," 29,202 "," 1,819 "," 36,883 "," 1,137 "," 9,961 "," 1,129,650 "," 1,071,412 "," 58,238 "
HH2808,27,497,00000,000000,District - Nandurbar,Total," 319,623 "," 91,574 "," 6,294 "," 47,238 "," 6,318 "," 26,327 "," 4,548 ", 584 , 28 , 237 ," 228,049 "," 18,978 "," 209,071 "
HH2808,27,497,00000,000000,District - Nandurbar,Rural," 270,533 "," 60,391 "," 2,766 "," 22,131 "," 5,625 "," 24,897 "," 4,411 ", 384 , -   , 177 ," 210,142 "," 9,954 "," 200,188 "
HH2808,27,497,00000,000000,District - Nandurbar,Urban," 49,090 "," 31,183 "," 3,528 "," 25,107 ", 693 ," 1,430 ", 137 , 200 , 28 , 60 ," 17,907 "," 9,024 "," 8,883 "
HH2808,27,497,03950,000000,Sub-District - Akkalkuwa,Total," 45,360 "," 7,334 ", 607 ," 3,215 ", 976 ," 1,841 ", 634 , 43 , -   , 18 ," 38,026 "," 1,253 "," 36,773 "
HH2808,27,497,03950,000000,Sub-District - Akkalkuwa,Rural," 41,213 "," 4,778 ", 216 ," 1,372 ", 865 ," 1,675 ", 598 , 41 , -   , 11 ," 36,435 ", 828 ," 35,607 "
HH2808,27,497,03950,000000,Sub-District - Akkalkuwa,Urban," 4,147 "," 2,556 ", 391 ," 1,843 ", 111 , 166 , 36 , 2 , -   , 7 ," 1,591 ", 425 ," 1,166 "
HH2808,27,497,03950,525192,Khapar (CT),Urban," 1,426 ", 884 , 170 , 533 , 35 , 117 , 26 , 2 , -   , 1 , 542 , 45 , 497 
HH2808,27,497,03950,525193,Akkalkuwa (CT),Urban," 1,745 "," 1,254 ", 176 ," 1,030 ", 34 , 12 , 2 , -   , -   , -   , 491 , 214 , 277 
HH2808,27,497,03950,525194,Makranifali (CT),Urban, 976 , 418 , 45 , 280 , 42 , 37 , 8 , -   , -   , 6 , 558 , 166 , 392 
HH2808,27,497,03951,000000,Sub-District - Akrani,Total," 32,386 "," 2,001 ", 136 , 918 , 161 , 450 , 304 , 24 , -   , 8 ," 30,385 ", 519 ," 29,866 "
HH2808,27,497,03951,000000,Sub-District - Akrani,Rural," 31,336 "," 1,574 ", 96 , 660 , 158 , 325 , 304 , 23 , -   , 8 ," 29,762 ", 505 ," 29,257 "
HH2808,27,497,03951,000000,Sub-District - Akrani,Urban," 1,050 ", 427 , 40 , 258 , 3 , 125 , -   , 1 , -   , -   , 623 , 14 , 609 
HH2808,27,497,03951,525357,Vadfalya (CT),Urban," 1,050 ", 427 , 40 , 258 , 3 , 125 , -   , 1 , -   , -   , 623 , 14 , 609 
HH2808,27,497,03952,000000,Sub-District - Talode,Total," 31,070 "," 9,846 ", 573 ," 3,930 "," 1,155 "," 3,509 ", 599 , 41 , -   , 39 ," 21,224 "," 1,833 "," 19,391 "
HH2808,27,497,03952,000000,Sub-District - Talode,Rural," 26,039 "," 7,309 ", 317 ," 1,883 "," 1,088 "," 3,357 ", 593 , 32 , -   , 39 ," 18,730 ", 592 ," 18,138 "
HH2808,27,497,03952,000000,Sub-District - Talode,Urban," 5,031 "," 2,537 ", 256 ," 2,047 ", 67 , 152 , 6 , 9 , -   , -   ," 2,494 "," 1,241 "," 1,253 "
HH2808,27,497,03952,802640,Talode (M Cl),Urban," 5,031 "," 2,537 ", 256 ," 2,047 ", 67 , 152 , 6 , 9 , -   , -   ," 2,494 "," 1,241 "," 1,253 "
HH2808,27,497,03953,000000,Sub-District - Shahade,Total," 79,884 "," 23,116 "," 1,726 "," 15,211 ", 876 ," 4,515 ", 449 , 246 , -   , 93 ," 56,768 "," 4,867 "," 51,901 "
HH2808,27,497,03953,000000,Sub-District - Shahade,Rural," 68,746 "," 16,054 "," 1,072 "," 9,790 ", 743 ," 3,838 ", 423 , 135 , -   , 53 ," 52,692 "," 3,664 "," 49,028 "
HH2808,27,497,03953,000000,Sub-District - Shahade,Urban," 11,138 "," 7,062 ", 654 ," 5,421 ", 133 , 677 , 26 , 111 , -   , 40 ," 4,076 "," 1,203 "," 2,873 "
HH2808,27,497,03953,802641,Shahade (M Cl),Urban," 11,138 "," 7,062 ", 654 ," 5,421 ", 133 , 677 , 26 , 111 , -   , 40 ," 4,076 "," 1,203 "," 2,873 "
