State,Population,Percent_Toilet,Percent_Flush,Percent_Pit,Crime,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012
Andhra Pradesh,84.665533,29.8,7.5,22.3,RAPE,13.58285904,15.82698357,14.61043185,17.0435353,16.71282221,16.06320721,16.96085702,18.08291929,17.56322729,20.7994911,20.76405755,19.65380647
Arunachal Pradesh,1.382611,0,0,0,RAPE,36.88673097,44.11942332,25.31442322,40.50307715,27.48423092,28.93076939,41.22634638,26.76096169,43.39615409,35.44019251,33.99365404,33.99365404
Assam,31.169272,43.9,16.2,27.7,RAPE,29.77291225,32.69245429,38.11446093,39.55819052,45.10852868,41.38691465,47.38641313,46.35976099,52.74425402,52.26301083,47.16183297,52.16676219
Bihar,103.804637,15.7,3.2,12.5,RAPE,13.48687342,12.56205925,10.78949874,11.14593754,14.01671488,13.97818096,17.49440153,14.10341621,10.46196038,8.593065067,11.415675,12.78362931
Chhattisgarh,25.540196,49.9,4.5,45.4,RAPE,44.40059896,47.53291635,39.93704669,44.79213864,43.34344184,47.41545445,44.87044657,43.38259581,44.16567516,46.90645287,49.21653694,47.53291635
Goa,1.457723,40,20,20,RAPE,9.604019419,8.232016645,24.69604994,32.92806658,23.32404716,13.72002774,17.15003468,28.12605687,38.41607768,34.30006935,23.32404716,41.84608461
Gujarat,60.383628,46.2,16.3,29.9,RAPE,6.64087292,6.259974972,5.895637804,7.965735348,8.296950955,8.926260608,8.330072516,8.760652805,10.10207601,10.21800148,10.2842446,10.71482489
Haryana,25.353081,42.5,40.8,1.7,RAPE,21.25974354,20.15534128,20.62865653,22.60080343,24.73072208,30.44994808,23.94186332,33.4870543,33.44761136,34.15758424,31.59379328,37.07636165
Himachal Pradesh,6.856509,97.4,22.6,74.8,RAPE,22.16871589,29.75275027,21.293635,27.27335441,25.66903945,19.10593277,28.73182256,26.54412034,36.46170376,28.73182256,27.27335441,37.7743251
Jammu and Kashmir,12.548926,65.3,5.7,59.7,RAPE,17.69075696,16.17668317,21.19703312,21.59547359,19.76264742,23.98611642,26.37675925,18.6470141,24.14549261,21.19703312,27.81114495,30.91898064
Jharkhand,32.966238,31.2,0,31.2,RAPE,19.32279928,26.48163858,23.02355519,23.02355519,22.20453544,28.60502311,26.87598142,24.32791998,23.20555958,25.35927818,22.99322113,23.66057055
Karnataka,61.130704,34.9,9.8,25.1,RAPE,5.905379398,5.839945831,6.706940591,6.494281499,6.232547232,7.77023605,8.473646893,10.50208746,9.733243052,12.61231999,13.69197384,13.7737658
Kerala,33.387677,77.1,15.3,61.8,RAPE,21.32523326,17.97070218,15.48475505,16.83255771,15.15529218,19.94747942,16.62289952,18.6595791,20.78611219,19.73782123,36.7201348,37.70852342
Madhya Pradesh,72.597565,43.9,4.2,39.7,RAPE,44.24390818,54.07894879,50.88324932,57.59146329,53.72081006,53.41776959,56.90273496,53.37644589,58.44548643,60.42902403,63.26658477,66.42096054
Maharashtra,112.372972,58.4,22.4,36,RAPE,16.78339521,16.64991115,16.5164271,17.03256545,19.81793273,19.23950183,18.66107092,19.63105505,18.46529431,19.39968269,22.54100746,23.05714581
Manipur,2.721756,64,40,24,RAPE,6.245967677,6.61337754,6.980787403,10.65488604,4.40891836,7.348197267,4.40891836,6.980787403,8.083016993,8.083016993,8.81783672,16.90085371
Meghalaya,2.964007,46.5,27.1,19.4,RAPE,9.784052467,15.18215038,16.86905598,19.23072381,21.92977277,23.95405949,25.64096509,27.6652518,37.11192315,45.54645114,43.1847833,61.40336376
Mizoram,1.091014,60,20,40,RAPE,58.66102543,76.07601736,64.16049657,13.74867784,32.99682681,70.57654622,79.74233145,86.1583811,74.24286031,102.6567945,67.82681066,111.8225797
Nagaland,1.980602,36.2,13.8,22.4,RAPE,14.13711589,10.09793992,7.068557943,10.09793992,9.593042923,14.64201288,7.573454939,13.63221889,13.63221889,8.583248931,13.63221889,13.1273219
Odisha,41.947358,19.6,2.1,17.5,RAPE,21.14555105,19.548311,20.00125967,21.59849972,19.97742027,24.31619174,24.45922816,24.91217683,26.6762927,32.49310719,29.17943008,39.7164465
Punjab,27.704236,40.9,23.3,17.7,RAPE,16.56786348,19.41941297,20.71885325,20.32180205,19.96084642,22.30705803,25.59175427,23.93135837,24.5810785,27.64920137,21.58514676,32.30552902
Rajasthan,68.621012,28.6,5.8,22.9,RAPE,16.71499686,13.65470973,13.52355456,14.49993189,16.17580341,15.81148351,17.50192784,17.64765579,20.22704066,19.57126485,23.92853081,26.33304213
Sikkim,0.607688,100,100,0,RAPE,9.873487711,3.29116257,11.519069,4.936743855,13.16465028,27.97488185,49.36743855,39.49395084,31.26604442,34.55720699,41.13953213,47.72185727
Tamil Nadu,72.138958,79,60,19,RAPE,7.832106474,9.63418407,9.162871468,9.440114175,10.3134287,7.943003557,8.525213242,10.25798016,10.75701703,10.77087917,11.60260729,13.33537421
Tripura,3.671032,40,40,0,RAPE,37.86401208,38.40881801,36.77440022,51.75656328,42.76726544,45.49129509,44.94648916,57.20462257,91.52739611,87.16894868,70.27996487,55.02539885
